year,make,model,trim,msrp_price,as_of_datetime
2025,Toyota,GR86,MT,35399.08,2025-10-26 05:48:54.417505+00:00
2025,Toyota,GR86,Premium MT,38399.08,2025-10-26 05:48:54.417879+00:00
2025,Toyota,GR86,Premium AT,40364.08,2025-10-26 05:48:54.418004+00:00
2025,Toyota,GR86,HAKONE Edition MT,41754.08,2025-10-26 05:48:54.418124+00:00
2025,Toyota,GR Corolla,MT,51459.08,2025-10-26 05:48:59.265212+00:00
2025,Toyota,GR Corolla,AT,61681.08,2025-10-26 05:48:59.265338+00:00
2025,Toyota,GR Supra,3.0L AT,65779.08,2025-10-26 05:49:03.716321+00:00
2025,Toyota,GR Supra,3.0L MT,65779.08,2025-10-26 05:49:03.716461+00:00
2026,Toyota,Prius,XLE AWD,41409.08,2025-10-26 05:49:08.395758+00:00
2026,Toyota,Prius,Limited AWD,47524.08,2025-10-26 05:49:08.395891+00:00
2025,Toyota,Prius Plug-in Hybrid,SE,43094.08,2025-10-26 05:49:12.393509+00:00
2025,Toyota,Prius Plug-in Hybrid,XSE,47829.08,2025-10-26 05:49:12.393641+00:00
2025,Toyota,Prius Plug-in Hybrid,XSE Premium,51579.08,2025-10-26 05:49:12.393767+00:00
2025,Toyota,Corolla Hatchback,CVT,27319.08,2025-10-26 05:49:16.722129+00:00
2025,Toyota,Corolla,L CVT,26918.58,2025-10-26 05:49:20.954640+00:00
2025,Toyota,Corolla,LE CVT,27913.58,2025-10-26 05:49:20.954966+00:00
2025,Toyota,Corolla,SE CVT,29498.58,2025-10-26 05:49:20.955221+00:00
2025,Toyota,Corolla Hybrid,LE,30034.08,2025-10-26 05:49:20.955520+00:00
2025,Toyota,Corolla Hybrid,LE AWD,31534.08,2025-10-26 05:49:20.955818+00:00
2025,Toyota,Corolla Hybrid,SE AWD,33674.08,2025-10-26 05:49:20.956125+00:00
2025,Toyota,Corolla,XSE CVT,35143.58,2025-10-26 05:49:20.956294+00:00
2025,Toyota,Corolla Hybrid,XSE AWD,39299.08,2025-10-26 05:49:20.956532+00:00
2026,Toyota,Camry Hybrid,SE FWD,37623.58,2025-10-26 05:49:26.898614+00:00
2026,Toyota,Camry Hybrid,SE Upgrade AWD,41318.58,2025-10-26 05:49:26.898764+00:00
2026,Toyota,Camry Hybrid,XLE AWD,48273.58,2025-10-26 05:49:26.898955+00:00
2026,Toyota,Camry Hybrid,XSE AWD,48378.58,2025-10-26 05:49:26.899087+00:00
2025,Toyota,Crown,Limited,57435.58,2025-10-26 05:49:31.498090+00:00
2025,Toyota,Crown,Platinum,66868.58,2025-10-26 05:49:31.498230+00:00
2026,Toyota,bZ,XLE FWD,49108.58,2025-10-26 05:49:36.670526+00:00
2026,Toyota,bZ,XLE AWD,56508.58,2025-10-26 05:49:36.670663+00:00
2026,Toyota,bZ,Limited AWD,64808.58,2025-10-26 05:49:36.670794+00:00
2026,Toyota,Corolla Cross,L FWD,31698.58,2025-10-26 05:49:40.826661+00:00
