make,model,trim,msrp_price
Toyota,2025 GR86,MT,"$35,399.08"
Toyota,2025 GR86,Premium MT,"$38,399.08"
Toyota,2025 GR86,Premium AT,"$40,364.08"
Toyota,2025 GR86,HAKONE Edition MT,"$41,754.08"
Toyota,2025 GR Corolla,MT,"$51,459.08"
Toyota,2025 GR Corolla,AT,"$61,681.08"
Toyota,2025 GR Supra,3.0L AT,"$65,779.08"
Toyota,2025 GR Supra,3.0L MT,"$65,779.08"
Toyota,2026 Prius,XLE AWD,"$41,409.08"
Toyota,2026 Prius,Limited AWD,"$47,524.08"
Toyota,2025 Prius Plug-in Hybrid,SE,"$43,094.08"
Toyota,2025 Prius Plug-in Hybrid,XSE,"$47,829.08"
Toyota,2025 Prius Plug-in Hybrid,XSE Premium,"$51,579.08"
Toyota,2025 Corolla Hatchback,CVT,"$27,319.08"
Toyota,2025 Corolla,L CVT,"$26,918.58"
Toyota,2025 Corolla,LE CVT,"$27,913.58"
Toyota,2025 Corolla,SE CVT,"$29,498.58"
Toyota,2025 Corolla Hybrid,LE,"$30,034.08"
Toyota,2025 Corolla Hybrid,LE AWD,"$31,534.08"
Toyota,2025 Corolla Hybrid,SE AWD,"$33,674.08"
Toyota,2025 Corolla,XSE CVT,"$35,143.58"
Toyota,2025 Corolla Hybrid,XSE AWD,"$39,299.08"
Toyota,2026 Camry Hybrid,SE FWD,"$37,623.58"
Toyota,2026 Camry Hybrid,SE Upgrade AWD,"$41,318.58"
Toyota,2026 Camry Hybrid,XLE AWD,"$48,273.58"
Toyota,2026 Camry Hybrid,XSE AWD,"$48,378.58"
Toyota,2025 Crown,Limited,"$57,435.58"
Toyota,2025 Crown,Platinum,"$66,868.58"
Toyota,2026 bZ,XLE FWD,"$49,108.58"
Toyota,2026 bZ,XLE AWD,"$56,508.58"
Toyota,2026 bZ,Limited AWD,"$64,808.58"
Toyota,2026 Corolla Cross,L FWD,"$31,698.58"
Toyota,2026 Corolla Cross,L AWD,"$33,098.58"
Toyota,2026 Corolla Cross,LE FWD,"$33,753.58"
Toyota,2026 Corolla Cross,LE AWD,"$34,773.58"
Toyota,2026 Corolla Cross Hybrid,SE AWD,"$38,924.08"
Toyota,2026 Corolla Cross,XLE AWD,"$41,003.58"
Toyota,2026 Corolla Cross Hybrid,XSE AWD,"$41,749.08"
Toyota,2025 RAV4,LE AWD,"$36,803.58"
Toyota,2025 RAV4 Hybrid,LE AWD,"$39,753.58"
Toyota,2025 RAV4,XLE AWD,"$40,543.58"
Toyota,2025 RAV4 Hybrid,XLE AWD,"$42,893.58"
Toyota,2025 RAV4,Trail AWD,"$44,233.58"
Toyota,2025 RAV4 Hybrid,SE AWD,"$44,693.58"
Toyota,2025 RAV4 Hybrid,XSE AWD,"$47,593.58"
Toyota,2025 RAV4,Limited AWD,"$48,423.58"
Toyota,2025 RAV4 Hybrid,Limited AWD,"$50,773.58"
Toyota,2025 RAV4 Plug-in Hybrid,SE AWD,"$54,833.58"
Toyota,2025 RAV4 Plug-in Hybrid,XSE AWD,"$59,673.58"
Toyota,2025 Crown Signia,Limited,"$60,568.58"
Toyota,2025 Highlander,XLE AWD,"$53,628.58"
Toyota,2025 Highlander Hybrid,LE AWD,"$53,968.58"
Toyota,2025 Highlander Hybrid,XLE AWD,"$56,828.58"
Toyota,2025 Highlander,XSE AWD,"$57,463.58"
Toyota,2025 Highlander,Limited AWD,"$59,008.58"
Toyota,2025 Highlander Hybrid,Limited AWD,"$62,208.58"
Toyota,2026 Grand Highlander,XLE,"$54,753.58"
Toyota,2026 Grand Highlander Hybrid,XLE,"$58,053.58"
Toyota,2026 Grand Highlander,Limited,"$61,888.58"
Toyota,2026 Grand Highlander Hybrid,Limited,"$65,388.58"
Toyota,2026 Grand Highlander Hybrid,Platinum Hybrid MAX,"$69,648.58"
Toyota,2025 Sienna,LE FWD 8-Pass,"$51,218.58"
Toyota,2025 Sienna,LE AWD 8-Pass,"$53,058.58"
Toyota,2025 Sienna,XLE FWD 8-Pass,"$53,804.08"
Toyota,2025 Sienna,XSE FWD 7-Pass,"$56,049.08"
Toyota,2025 Sienna,XSE AWD 7-Pass,"$58,189.08"
Toyota,2025 Sienna,Limited AWD 7-Pass,"$68,979.08"
Toyota,2025 4Runner,,"$57,318.58"
Toyota,2025 4Runner Hybrid,Hybrid,"$70,454.58"
Toyota,2025 Land Cruiser,1958,"$73,313.58"
Toyota,2025 Land Cruiser,Cruiser,"$82,073.58"
Toyota,2026 Sequoia,SR5 TRD Off Road,"$88,058.58"
Toyota,2026 Sequoia,Limited,"$91,388.58"
Toyota,2026 Sequoia,Platinum,"$103,220.30"
Toyota,2026 Sequoia,Capstone,"$106,816.70"
Toyota,2025 Tacoma,4x4 Double Cab 8A,"$51,438.58"
Toyota,2025 Tacoma,4x4 Double Cab 6M,"$53,017.58"
Toyota,2025 Tacoma,4x4 Double Cab Hybrid,"$67,858.58"
Toyota,2026 Tundra 4X2,Double Cab SR 4X2 Regular Bed,"$57,458.58"
Toyota,2026 Tundra 4X2,Double Cab SR 4X2 Long Bed,"$57,958.58"
Toyota,2026 Tundra 4X4,Double Cab SR,"$60,758.58"
Toyota,2026 Tundra 4X4,CrewMax SR,"$62,703.58"
Toyota,2026 Tundra 4X4,Double Cab SR5 L,"$64,928.58"
Toyota,2026 Tundra 4X4,CrewMax SR5 L,"$65,613.58"
Toyota,2026 Tundra 4X4,CrewMax Limited,"$75,438.58"
Toyota,2026 Tundra 4X4,CrewMax Limited L,"$75,798.58"
Toyota,2026 Tundra Hybrid,CrewMax Limited,"$79,093.58"
Toyota,2026 Tundra Hybrid,CrewMax Limited L,"$79,138.58"
Toyota,2026 Tundra 4X4,CrewMax Platinum,"$85,808.58"
Toyota,2026 Tundra 4X4,CrewMax Platinum L,"$86,168.58"
Toyota,2026 Tundra Hybrid,CrewMax Platinum,"$89,463.58"
Toyota,2026 Tundra Hybrid,CrewMax Capstone,"$97,398.58"
